,datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
0,2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3,13,16
1,2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8,32,40
2,2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5,27,32
3,2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3,10,13
4,2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0,1,1
5,2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
6,2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2,0,2
7,2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1,2,3
8,2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1,7,8
9,2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8,6,14
10,2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
11,2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
12,2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
13,2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
14,2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
15,2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
16,2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
17,2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
18,2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
19,2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
20,2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
21,2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3,31,34
22,2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
23,2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
24,2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
25,2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
26,2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
27,2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2,4,6
28,2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2,1,3
29,2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
30,2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0,1,1
31,2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8
32,2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20
33,2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53
34,2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70
35,2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93
36,2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75
37,2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4,55,59
38,2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74
39,2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76
40,2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7,58,65
41,2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53
42,2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30
43,2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22
44,2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31
45,2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9
46,2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8
47,2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5
48,2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2
49,2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
50,2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
51,2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30
52,2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1,63,64
53,2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154
54,2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88
55,2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
56,2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51
57,2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61
58,2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61
59,2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77
60,2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72
61,2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
62,2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
63,2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
64,2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8,102,110
65,2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
66,2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52
67,2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
68,2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
69,2011-01-04 00:00:00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
70,2011-01-04 01:00:00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2
71,2011-01-04 02:00:00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1
72,2011-01-04 04:00:00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
73,2011-01-04 05:00:00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4
74,2011-01-04 06:00:00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
75,2011-01-04 07:00:00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
76,2011-01-04 08:00:00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
77,2011-01-04 09:00:00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
78,2011-01-04 10:00:00,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
79,2011-01-04 11:00:00,1,0,1,1,9.02,10.605,51,19.9995,7,50,57
80,2011-01-04 12:00:00,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
81,2011-01-04 13:00:00,1,0,1,1,9.84,11.365,56,12.998,18,79,97
82,2011-01-04 14:00:00,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
83,2011-01-04 15:00:00,1,0,1,1,11.48,13.635,52,16.9979,17,48,65
84,2011-01-04 16:00:00,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
85,2011-01-04 17:00:00,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
86,2011-01-04 18:00:00,1,0,1,1,10.66,12.88,48,12.998,3,179,182
87,2011-01-04 19:00:00,1,0,1,1,9.84,12.88,48,7.0015,2,110,112
88,2011-01-04 20:00:00,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
89,2011-01-04 21:00:00,1,0,1,1,9.02,13.635,64,0.0,0,48,48
90,2011-01-04 22:00:00,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
91,2011-01-04 23:00:00,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
92,2011-01-05 00:00:00,1,0,1,1,8.2,12.88,64,0.0,0,6,6
93,2011-01-05 01:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
94,2011-01-05 02:00:00,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
95,2011-01-05 04:00:00,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
96,2011-01-05 05:00:00,1,0,1,1,9.02,11.365,47,11.0014,0,3,3
97,2011-01-05 06:00:00,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
98,2011-01-05 07:00:00,1,0,1,1,7.38,9.09,43,12.998,1,87,88
99,2011-01-05 08:00:00,1,0,1,1,8.2,9.09,40,19.9995,3,192,195
100,2011-01-05 09:00:00,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
101,2011-01-05 10:00:00,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
102,2011-01-05 11:00:00,1,0,1,1,10.66,11.365,33,22.0028,12,34,46
103,2011-01-05 12:00:00,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
104,2011-01-05 13:00:00,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
105,2011-01-05 14:00:00,1,0,1,1,12.3,14.395,28,12.998,10,52,62
106,2011-01-05 15:00:00,1,0,1,1,12.3,14.395,28,12.998,7,55,62
107,2011-01-05 16:00:00,1,0,1,1,12.3,15.91,28,6.0032,4,85,89
108,2011-01-05 17:00:00,1,0,1,1,9.84,11.365,38,12.998,4,186,190
109,2011-01-05 18:00:00,1,0,1,1,9.84,12.12,38,8.9981,3,166,169
110,2011-01-05 19:00:00,1,0,1,1,9.84,12.88,38,7.0015,5,127,132
111,2011-01-05 20:00:00,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
112,2011-01-05 21:00:00,1,0,1,1,8.2,9.85,51,12.998,3,40,43
113,2011-01-05 22:00:00,1,0,1,1,7.38,9.85,55,8.9981,1,41,42
114,2011-01-05 23:00:00,1,0,1,1,8.2,12.88,47,0.0,1,18,19
